estadio_id,estadio,cidade,uf
maracana,Maracanã,Rio de Janeiro,RJ
mineirao,Mineirão,Belo Horizonte,MG
morumbi,Morumbi,São Paulo,SP
arena_corinthians,Neo Química Arena,São Paulo,SP
allianz_parque,Allianz Parque,São Paulo,SP
palestra_italia,Palestra Itália (antigo),São Paulo,SP
pacaembu,Pacaembu,São Paulo,SP
vila_belmiro,Vila Belmiro,Santos,SP
caninde,Canindé,São Paulo,SP
moises_lucarelli,Moisés Lucarelli,Campinas,SP
brinco_de_ouro,Brinco de Ouro da Princesa,Campinas,SP
anacleto_campanella,Anacleto Campanella,São Caetano do Sul,SP
bruno_jose_daniel,Bruno José Daniel,Santo André,SP
nabizao,Nabi Abi Chedid,Bragança Paulista,SP
arena_barueri,Arena Barueri,Barueri,SP
prudentao,Prudentão,Presidente Prudente,SP
beira_rio,Beira-Rio,Porto Alegre,RS
arena_gremio,Arena do Grêmio,Porto Alegre,RS
olimpico_goiania,Olímpico Pedro Ludovico,Goiânia,GO
olimpico_poa,Olímpico Monumental,Porto Alegre,RS
alfredo_jaconi,Alfredo Jaconi,Caxias do Sul,RS
centenario_caxias,Centenário,Caxias do Sul,RS
estadio_do_vale,Estádio do Vale,Novo Hamburgo,RS
arena_da_baixada,Ligga Arena (Arena da Baixada),Curitiba,PR
couto_pereira,Couto Pereira,Curitiba,PR
vila_capanema,Durival de Brito (Vila Capanema),Curitiba,PR
pinheirao,Pinheirão,Curitiba,PR
cafe,Estádio do Café,Londrina,PR
willie_davids,Willie Davids,Maringá,PR
orlando_scarpelli,Orlando Scarpelli,Florianópolis,SC
ressacada,Ressacada,Florianópolis,SC
arena_conda,Arena Condá,Chapecó,SC
heriberto_hulse,Heriberto Hülse,Criciúma,SC
arena_joinville,Arena Joinville,Joinville,SC
independencia,Independência (Raimundo Sampaio),Belo Horizonte,MG
arena_mrv,Arena MRV,Belo Horizonte,MG
arena_do_jacare,Arena do Jacaré,Sete Lagoas,MG
parque_do_sabia,Parque do Sabiá,Uberlândia,MG
ipatingao,Ipatingão,Ipatinga,MG
mario_helenio,Mário Helênio,Juiz de Fora,MG
sao_januario,São Januário,Rio de Janeiro,RJ
engenhao,Nilton Santos (Engenhão),Rio de Janeiro,RJ
luso_brasileiro,Luso-Brasileiro,Rio de Janeiro,RJ
giulite_coutinho,Giulite Coutinho,Mesquita,RJ
raulino_de_oliveira,Raulino de Oliveira,Volta Redonda,RJ
moacyrzao,Moacyrzão,Macaé,RJ
caio_martins,Caio Martins,Niterói,RJ
barradao,Barradão,Salvador,BA
arena_fonte_nova,Arena Fonte Nova,Salvador,BA
fonte_nova_velha,Fonte Nova (antiga),Salvador,BA
pituacu,Pituaçu,Salvador,BA
joia_da_princesa,Joia da Princesa,Feira de Santana,BA
adelmar_costa_carvalho,Ilha do Retiro,Recife,PE
aflitos,Aflitos,Recife,PE
arruda,Arruda,Recife,PE
arena_pernambuco,Arena de Pernambuco,São Lourenço da Mata,PE
serra_dourada,Serra Dourada,Goiânia,GO
serrinha,Serrinha (Hailé Pinheiro),Goiânia,GO
antonio_accioly,Antônio Accioly,Goiânia,GO
castelao_ma,Castelão,São Luís,MA
arena_castelao,Arena Castelão,Fortaleza,CE
presidente_vargas,Presidente Vargas,Fortaleza,CE
arena_pantanal,Arena Pantanal,Cuiabá,MT
morenao,Morenão,Campo Grande,MS
mangueirao,Mangueirão,Belém,PA
curuzu,Curuzu,Belém,PA
arena_amazonia,Arena da Amazônia,Manaus,AM
rei_pele,Rei Pelé,Maceió,AL
batistao,Batistão,Aracaju,SE
machadao,Machadão,Natal,RN
arena_das_dunas,Arena das Dunas,Natal,RN
mane_garrincha,Mané Garrincha,Brasília,DF
bezerrao,Bezerrão,Gama,DF
serejao,Serejão,Taguatinga,DF
kleber_andrade,Kléber Andrade,Cariacica,ES
desconhecido,Desconhecido,,
